Nr.;Datum;Modus;Position(en) Anzahl;Position(en);Position(en) USt %;Zahlungsart;Netto €;Steuer €;Brutto €;Trinkgeld €;Storniert;Storno Nr.;Stornodatum;Storno Brutto €;Storno Trinkgeld €;Kunde;Kunde - Adresse;KassiererIn;Umsatzzuweisung
19166;19.10.2025 14:37;Normal;1;Cappuccino;19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19167;19.10.2025 14:52;Normal;1| 1| 1;Filterkaffee  Tasse, Latte Macchiato, Pfirsich-Rahm-Käse-Torte;19, 19, 19;Bar;8,4;1,6;10;0;Nein;;;;;;;Café Team;
19168;19.10.2025 14:53;Normal;3;Booklet: Befreiendes Gebet;7;Bar;2,8;0,2;3;0;Nein;;;;;;;Shop Team;
19169;19.10.2025 14:56;Normal;2| 1| 1;Zitronen-Schnitte vegan, Latte Macchiato, Filterkaffee  Tasse;19, 19, 19;Bar;9,24;1,76;11;0;Nein;;;;;;;Café Team;
19170;19.10.2025 14:59;Normal;2| 1| 1| 1;Americano, Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Pfirsich-Rahm-Käse-Torte, Hafermilch;19, 19, 19, 19;EC-Karte;11,34;2,16;13,5;0;Nein;;;;;;;Café Team;
19171;19.10.2025 15:09;Normal;2| 2| 1| 1;Kurkuma Latte, Hafermilch, Aprikosenkuchen, vegan, Pfirsich-Rahm-Käse-Torte;19, 19, 19, 19;EC-Karte;12,18;2,32;14,5;0;Nein;;;;;;;Café Team;
19172;19.10.2025 15:15;Normal;2| 2| 1| 2| 1;Milchkaffee, Donauwelle, Filterkaffee  Tasse, Pfirsich-Rahm-Käse-Torte, Latte Macchiato;19, 19, 19, 19, 19;Bar;23,69;4,51;28,2;0;Nein;;;;;;;Café Team;
19173;19.10.2025 15:18;Normal;1| 1| 2;Pfirsich-Rahm-Käse-Torte, Donauwelle, Latte Macchiato;19, 19, 19;Bar;12,27;2,33;14,6;0;Nein;;;;;;;Café Team;
19174;19.10.2025 15:23;Normal;1;Buddha Shakyamuni medium taiwanese gold 7014;19;EC-Karte;35,29;6,71;42;0;Nein;;;;;;;Shop Team;
19175;19.10.2025 15:28;Normal;1;Wurfkissen 45 x 45  9020;19;Bar;21,01;3,99;25;0;Nein;;;;;;;Shop Team;
19176;19.10.2025 15:29;Normal;1| 2| 1| 2| 1;Tee, Hafermilch, Latte Macchiato, Pfirsich-Rahm-Käse-Torte, Aprikosenkuchen, vegan;19, 19, 19, 19, 19;Bar;14,7;2,8;17,5;0;Nein;;;;;;;Café Team;
19177;19.10.2025 15:30;Normal;1;Pfirsich-Rahm-Käse-Torte;19;EC-Karte;3,36;0,64;4;0;Nein;;;;;;;Café Team;
19178;19.10.2025 15:31;Normal;1| 1;Americano, Hafermilch;19, 19;EC-Karte;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19179;19.10.2025 15:42;Normal;2| 2| 2;Americano, Apfelkuchen, vegan, Extra Sahne;19, 19, 19;Bar;10,92;2,08;13;0;Nein;;;;;;;Café Team;
19180;19.10.2025 16:00;Normal;1| 1;Cappuccino, Koffeinfrei;19, 19;EC-Karte;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19181;19.10.2025 16:07;Normal;1;Americano;19;EC-Karte;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19182;19.10.2025 16:08;Normal;2| 1| 1;Americano, Zitronen-Schnitte vegan, Pfirsich-Rahm-Käse-Torte;19, 19, 19;EC-Karte;9,66;1,84;11,5;0;Nein;;;;;;;Café Team;
19183;19.10.2025 16:09;Normal;1;Espresso Macchiatto;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19184;19.10.2025 16:12;Normal;4| 2| 1| 1;Milchkaffee, Apfelkuchen, vegan, Donauwelle, Aprikosenkuchen, vegan;19, 19, 19, 19;EC-Karte;23,61;4,49;28,1;0;Nein;;;;;;;Café Team;
19185;19.10.2025 16:18;Normal;1| 1;Milchkaffee, Donauwelle;19, 19;Bar;5,97;1,13;7,1;0;Nein;;;;;;;Café Team;
19186;19.10.2025 16:39;Normal;1;Americano;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19187;19.10.2025 16:44;Normal;2| 3| 1| 5| 3;Geleitete Meditationen: Meditationen zur Entspannung - Audio, Feng Shui Kristalllotus mit Chakrakette - 10cm, Windspiel holz curved top 65cm 8024, Regenbogen-Kristalle Kugel 9717, Feng Shui Kristalle Sterne und Einheit Fensterdekoration - 23,5cm;7, 19, 19, 19, 19;EC-Karte;117,38;19,62;137;0;Nein;;;;;;;Shop Team;
19188;19.10.2025 16:46;Normal;2| 1;Cappuccino, Apfelkuchen, vegan;19, 19;Bar;7,98;1,52;9,5;0;Nein;;;;;;;Café Team;
19189;19.10.2025 16:47;Normal;1| 1| 1;Milchkaffee, Hafermilch, Wasser;19, 19, 19;Bar;4,62;0,88;5,5;0;Nein;;;;;;;Café Team;
19190;19.10.2025 17:02;Normal;2;Linsen Chips Original 90g;7;Bar;4,67;0,33;5;0;Nein;;;;;;;Shop Team;
19191;21.10.2025 16:40;Normal;2;Samtbeutel;19;Bar;23,53;4,47;28;0;Nein;;;;;;;Shop Team;
19192;23.10.2025 20:41;Normal;3;Kunst: Dorje Shugden 4 - Minikarte;19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Shop Team;
19193;24.10.2025 16:25;Normal;1| 1;Linsen Chips Original 90g, Ariona Fruchtriegel;7, 7;Bar;3,84;0,26;4,1;0;Nein;;;;;;;Shop Team;
19194;25.10.2025 11:48;Normal;1;Koffeinfrei;19;Bar;0;0;0;0;Nein;;;;;;;Café Team;
19195;25.10.2025 12:08;Normal;3| 3| 1;Omas Rahmkäse-Torte, Heiße Schokolade, Americano;19, 19, 19;Bar;19,74;3,76;23,5;0;Nein;;;;;;;Café Team;
19196;25.10.2025 12:21;Normal;1;Laugenbrezel mit Butter;19;EC-Karte;1,85;0,35;2,2;0;Nein;;;;;;;Café Team;
19197;25.10.2025 12:29;Normal;1;Laugenbrezel mit Butter;19;EC-Karte;1,85;0,35;2,2;0;Nein;;;;;;;Café Team;
19198;25.10.2025 13:18;Normal;2;Americano;19;Bar;4,2;0,8;5;0;Nein;;;;;;;Café Team;
19199;25.10.2025 13:20;Normal;1| 1;Armband elastisch Amazonit o Erdbeerquarz Herzen - 10mm 12546, Baumwolltüch Quad. Alle Fabre 0012;19, 19;Bar;11,51;2,19;13,7;0;Nein;;;;;;;Shop Team;
19200;25.10.2025 13:41;Normal;2| 1| 1| 1| 1| 1;Mango- Joghurt-Crunch Torte, Milchkaffee, Latte Macchiato, Cappuccino, Omas Rahmkäse-Torte, Erdbeer Buttemilch Torte;19, 19, 19, 19, 19, 19;Bar;23,36;4,44;27,8;0;Nein;;;;;;;Café Team;
19201;25.10.2025 13:48;Normal;1;Zitrone Garten-Limonade;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19202;25.10.2025 14:02;Normal;2| 1;Americano, Mango- Joghurt-Crunch Torte;19, 19;Bar;8,32;1,58;9,9;0;Nein;;;;;;;Café Team;
19203;25.10.2025 14:08;Normal;1| 1;Cappuccino, Café Crema;19, 19;Bar;4,62;0,88;5,5;0;Nein;;;;;;;Café Team;
19204;25.10.2025 14:10;Normal;1| 1| 1| 1| 1;Omas Rahmkäse-Torte, Mango- Joghurt-Crunch Torte, ApfelChai heiss, Latte Macchiato, Koffeinfrei;19, 19, 19, 19, 19;Bar;12,52;2,38;14,9;0;Nein;;;;;;;Café Team;
19205;25.10.2025 14:20;Normal;1;Zitronen-Schnitte vegan;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19206;25.10.2025 14:24;Normal;1| 1;Cappuccino, Laugenbrezel mit Butter;19, 19;Bar;4,37;0,83;5,2;0;Nein;;;;;;;Café Team;
19207;25.10.2025 14:39;Normal;2| 1| 1;Milchkaffee, Donauwelle, Erdbeer Buttemilch Torte;19, 19, 19;Bar;12,69;2,41;15,1;0;Nein;;;;;;;Café Team;
19208;25.10.2025 14:55;Normal;1| 1;BioZisch Himbeer Cassis 0,33l, Vivani Vollmilch Schokolade mit ganzen Haselnüssen 100g;19, 7;EC-Karte;3,94;0,41;4,35;0;Nein;;;;;;;Shop Team;
19209;25.10.2025 14:59;Normal;1;Amitaba, medium taiwanese gold 7010;19;EC-Karte;35,29;6,71;42;0;Nein;;;;;;;Shop Team;
19210;25.10.2025 15:06;Normal;1;Mango- Joghurt-Crunch Torte;19;Bar;4,12;0,78;4,9;0;Nein;;;;;;;Café Team;
19211;25.10.2025 15:25;Normal;1| 1| 1;Tasse Herz, Lotus, Auge 11644, Klappkarte riso 2.   2202, scarf...Schal  9903;19, 19, 19;EC-Karte;27,23;5,17;32,4;0;Nein;;;;;;;Shop Team;
19212;25.10.2025 15:29;Normal;1| 1| 1;Kirsch-Schoko-Crisp Schnitte, Kurkuma Latte, Hafermilch;19, 19, 19;Kreditkarte;6,55;1,25;7,8;0;Nein;;;;;;;Café Team;
19213;25.10.2025 15:42;Normal;1| 1| 1;Tee, Americano, Donauwelle;19, 19, 19;Kreditkarte;7,23;1,37;8,6;0;Nein;;;;;;;Café Team;
19214;25.10.2025 15:53;Normal;1| 1| 1| 1| 1| 1;Latte Macchiato, Mango- Joghurt-Crunch Torte, Donauwelle, Kirsch-Schoko-Crisp Schnitte, Milchkaffee, Hafermilch;19, 19, 19, 19, 19, 19;Bar;16,64;3,16;19,8;1,2;Ja;326;25.10.2025 17:07;-19,8;-1,2;;;Café Team;
19215;25.10.2025 15:54;Normal;1| 1| 1| 1| 1| 1;Latte Macchiato, Milchkaffee, Hafermilch, Mango- Joghurt-Crunch Torte, Donauwelle, Kirsch-Schoko-Crisp Schnitte;19, 19, 19, 19, 19, 19;EC-Karte;16,64;3,16;19,8;1,2;Nein;;;;;;;Café Team;
19216;25.10.2025 15:55;Normal;1| 1;Latte Macchiato, Kirsch-Schoko-Crisp Schnitte;19, 19;EC-Karte;6,55;1,25;7,8;0;Nein;;;;;;;Café Team;
19217;25.10.2025 15:56;Normal;1| 1;Omas Rahmkäse-Torte, Filterkaffee  Tasse;19, 19;EC-Karte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19218;25.10.2025 16:03;Normal;1| 1;Chai Oriental, Hafermilch;19, 19;EC-Karte;2,94;0,56;3,5;0;Nein;;;;;;;Café Team;
19219;25.10.2025 16:27;Normal;1;Sadhana: Gebete für die Meditation;7;Kreditkarte;6,54;0,46;7;0;Nein;;;;;;;Shop Team;
19220;25.10.2025 16:28;Normal;1;Espresso;19;Bar;1,68;0,32;2;0;Nein;;;;;;;Café Team;
19221;25.10.2025 16:29;Normal;1| 1;Americano, Omas Rahmkäse-Torte;19, 19;EC-Karte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19222;25.10.2025 16:48;Normal;1;Cappuccino;19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19223;26.10.2025 11:30;Normal;1;Koffeinfrei;19;Bar;0;0;0;0;Nein;;;;;;;Café Team;
19224;26.10.2025 12:10;Normal;2| 1| 2| 1;Chai Oriental, Omas Rahmkäse-Torte, Hafermilch, Erdbeer Buttemilch Torte;19, 19, 19, 19;Bar;12,6;2,4;15;0;Nein;;;;;;;Café Team;
19225;26.10.2025 12:11;Normal;2| 1| 1;Chai Oriental, Omas Rahmkäse-Torte, Kirsch-Schoko-Crisp Schnitte;19, 19, 19;Bar;12,43;2,37;14,8;0;Nein;;;;;;;Café Team;
19226;26.10.2025 12:30;Normal;1;Plastikbuchhülle - 198;19;Bar;0,84;0,16;1;0;Nein;;;;;;;Shop Team;
19227;26.10.2025 12:36;Normal;2| 1;Cappuccino, Hafermilch;19, 19;Bar;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19228;26.10.2025 13:49;Normal;1| 1;Omas Rahmkäse-Torte, Americano;19, 19;Bar;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19229;26.10.2025 14:06;Normal;2;Cappuccino;19;Bar;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19230;26.10.2025 14:18;Normal;1;Samtbeutel;19;EC-Karte;11,76;2,24;14;0;Nein;;;;;;;Shop Team;
19231;26.10.2025 14:22;Normal;1;Chai Oriental;19;Bar;2,94;0,56;3,5;0;Nein;;;;;;;Café Team;
19232;26.10.2025 14:27;Normal;1| 1| 1;Koffeinfrei, Latte Macchiato, Hafermilch;19, 19, 19;Bar;2,94;0,56;3,5;0;Nein;;;;;;;Café Team;
19233;26.10.2025 14:37;Normal;2| 1| 1;Filterkaffee  Tasse, Mango- Joghurt-Crunch Torte, Erdbeer Buttemilch Torte;19, 19, 19;Bar;12,1;2,3;14,4;0;Nein;;;;;;;Café Team;
19234;26.10.2025 14:45;Normal;1| 1;Pink Grapefruit Garten-Limonade, Zitrone Garten-Limonade;19, 19;Bar;4,2;0,8;5;0;Nein;;;;;;;Café Team;
19235;26.10.2025 14:53;Normal;1| 1| 1| 1;Koffeinfrei, Americano, Hafermilch, Extra Sahne;19, 19, 19, 19;EC-Karte;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19236;26.10.2025 14:59;Normal;1| 1;Filterkaffee  Tasse, Espresso Doppio;19, 19;Bar;4,62;0,88;5,5;0;Nein;;;;;;;Café Team;
19237;26.10.2025 15:00;Normal;1;Pink Grapefruit Garten-Limonade;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19238;26.10.2025 15:17;Normal;5| 2;Plastikbuchhülle - 210, Khatag 1987;19, 19;EC-Karte;8,4;1,6;10;0;Nein;;;;;;;Shop Team;
19239;26.10.2025 15:38;Normal;1;Buddha Grüne Tara medium taiwanese gold 7013;19;EC-Karte;35,29;6,71;42;0;Nein;;;;;;;Shop Team;
19240;26.10.2025 15:59;Normal;1| 1| 1| 1| 1;Latte Macchiato, Mango- Joghurt-Crunch Torte, Erdbeer Buttemilch Torte, Heiße Schokolade, Extra Sahne;19, 19, 19, 19, 19;EC-Karte;14,2;2,7;16,9;0;Nein;;;;;;;Café Team;
19241;26.10.2025 16:00;Normal;2| 1| 1;Cappuccino, Mango- Joghurt-Crunch Torte, Zitronen-Schnitte vegan;19, 19, 19;EC-Karte;11,26;2,14;13,4;0;Nein;;;;;;;Café Team;
19242;30.10.2025 18:40;Normal;4;Liberating Prayer;7;EC-Karte;9,35;0,65;10;0;Nein;;;;;;;Shop Team;
19243;31.10.2025 11:55;Normal;3;Koffeinfrei;19;Bar;0;0;0;0;Nein;;;;;;;Café Team;
19244;31.10.2025 12:54;Normal;2| 1| 2| 1;Himbeer-Käse-Sahne-Torte, Kirsch-Schoko-Crisp Schnitte, Latte Macchiato, Heiße Schokolade;19, 19, 19, 19;Bar;19,15;3,65;22,8;0;Nein;;;;;;;Café Team;
19245;31.10.2025 13:09;Normal;2;Cappuccino;19;EC-Karte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19246;31.10.2025 13:48;Normal;2| 2| 1;Cappuccino, Pflaumen Streusel Schnitte, Extra Sahne;19, 19, 19;EC-Karte;10,84;2,06;12,9;0;Nein;;;;;;;Café Team;
19247;31.10.2025 13:55;Normal;1;Franzbrötchen, vegan;19;Bar;1,68;0,32;2;0;Nein;;;;;;;Café Team;
19248;31.10.2025 13:59;Normal;1| 1;Cappuccino, Milchkaffee;19, 19;EC-Karte;5,46;1,04;6,5;0;Nein;;;;;;;Café Team;
19249;31.10.2025 14:02;Normal;2| 1| 1| 1| 1;Lucilla v MINI  with envelloppe9420, 8 mm Sandelholz-Armband, Regenbogen-Kristalle Kugel 9717, KräuterRäucherwerk ohne Bambus mit Halter Serenity -- 34 g, BIC Cristal Original Pen 9404;19, 19, 19, 19, 19;EC-Karte;16,38;3,12;19,5;0;Nein;;;;;;;Shop Team;
19250;31.10.2025 14:04;Normal;1| 1;Cappuccino, Extra Shot;19, 19;EC-Karte;3,36;0,64;4;0;Nein;;;;;;;Café Team;
19251;31.10.2025 14:04;Normal;1;Cappuccino;19;EC-Karte;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19252;31.10.2025 14:45;Normal;1| 1;Pflaumen Streusel Schnitte, Filterkaffee  Tasse;19, 19;Bar;4,79;0,91;5,7;0;Nein;;;;;;;;
19253;31.10.2025 14:46;Normal;1| 1;Cappuccino, Apfelkuchen, vegan;19, 19;Bar;5,46;1,04;6,5;0;Nein;;;;;;;;
19254;31.10.2025 14:48;Normal;1;Heiße Schokolade;19;Bar;2,94;0,56;3,5;0;Nein;;;;;;;;
19255;31.10.2025 14:48;Normal;2;Cappuccino;19;Bar;5,04;0,96;6;0;Nein;;;;;;;;
19256;31.10.2025 14:56;Normal;1;Americano;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;;
19257;31.10.2025 15:02;Normal;1| 1| 1| 1| 1;Himbeer-Käse-Sahne-Torte, Schokoladen-Tarte, Latte Macchiato, Heiße Schokolade, Kirsch-Schoko-Crisp Schnitte;19, 19, 19, 19, 19;Bar;15,37;2,93;18,3;0;Nein;;;;;;;;
19258;31.10.2025 15:03;Normal;2| 1| 1| 1;Apfelkuchen, vegan, Latte Macchiato, Milchkaffee, Koffeinfrei;19, 19, 19, 19;Bar;11,76;2,24;14;0;Nein;;;;;;;;
19259;31.10.2025 15:14;Normal;1| 1| 2| 1| 1;Cappuccino, Himbeer Brownie, glutenfrei, Schokoladen-Tarte, Americano, Apfelkuchen, vegan;19, 19, 19, 19, 19;EC-Karte;15,54;2,96;18,5;1,5;Nein;;;;;;;Café Team;
19260;31.10.2025 15:19;Normal;1;Schokoladen-Tarte;19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19261;31.10.2025 15:28;Normal;1| 1| 1;Milchkaffee, Apfelkuchen, vegan, Extra Sahne;19, 19, 19;Bar;6,3;1,2;7,5;0;Nein;;;;;;;;
19262;31.10.2025 15:29;Normal;1;Cappuccino;19;Bar;2,52;0,48;3;0;Nein;;;;;;;;
19263;31.10.2025 15:50;Normal;1;Mala/Armband elastisch mit Anhänger 12144;19;EC-Karte;8,4;1,6;10;0;Nein;;;;;;;Shop Team;
19264;31.10.2025 15:56;Normal;2| 2| 1| 1| 1;Cappuccino, Heiße Schokolade, Himbeer-Käse-Sahne-Torte, Apfelkuchen, vegan, Pflaumen Streusel Schnitte;19, 19, 19, 19, 19;EC-Karte;19,91;3,79;23,7;0;Nein;;;;;;;Café Team;
19265;31.10.2025 15:57;Normal;1| 1| 1| 1;Kirsch-Schoko-Crisp Schnitte, Latte Macchiato, Hafermilch, Filterkaffee  Tasse;19, 19, 19, 19;EC-Karte;8,65;1,65;10,3;0;Nein;;;;;;;Café Team;
19266;31.10.2025 15:58;Normal;1;Kirsch-Schoko-Crisp Schnitte;19;EC-Karte;3,61;0,69;4,3;0;Nein;;;;;;;Café Team;
19267;31.10.2025 16:06;Normal;1| 1| 1| 1;Apfelkuchen, vegan, Pflaumen Streusel Schnitte, Milchkaffee, Cappuccino;19, 19, 19, 19;Bar;11,09;2,11;13,2;0;Nein;;;;;;;;
19268;31.10.2025 16:08;Normal;1| 1| 1| 1;Cappuccino, Himbeer-Käse-Sahne-Torte, Milchkaffee, Hafermilch;19, 19, 19, 19;EC-Karte;8,82;1,68;10,5;0;Nein;;;;;;;Café Team;
19269;31.10.2025 16:16;Normal;1;Espresso;19;EC-Karte;1,68;0,32;2;0;Nein;;;;;;;Café Team;
19270;31.10.2025 16:23;Normal;1| 1| 1| 1;Chai Oriental, ApfelChai heiss, Cashew-Quinoa Ecke, vegan, Pflaumen Streusel Schnitte;19, 19, 19, 19;Bar;11,34;2,16;13,5;0;Nein;;;;;;;;
19271;31.10.2025 16:37;Normal;1| 1;Buch: Wie wir den Geist verstehen, Buch: Wie wir unser Leben verwandeln;7, 7;EC-Karte;27,94;1,96;29,9;0;Nein;;;;;;;Shop Team;
19272;31.10.2025 16:41;Normal;1;Fingerpuppe aus Filz Hund Dalmatiner Finger Püppchen;19;Bar;2,94;0,56;3,5;0;Nein;;;;;;;Shop Team;
